first_name,last_name,email,city,rental_id,rental_date,return_date,payment_id,amount,rental_duration
mary,smith,mary.smith@sakilacustomer.org,sasebo,76,2005-05-25 11:30:37,2005-06-03 12:00:37,1,2.99,9
mary,smith,mary.smith@sakilacustomer.org,sasebo,573,2005-05-28 10:35:23,2005-06-03 06:32:23,2,0.99,6
mary,smith,mary.smith@sakilacustomer.org,sasebo,1185,2005-06-15 00:54:12,2005-06-23 02:42:12,3,5.99,8
mary,smith,mary.smith@sakilacustomer.org,sasebo,1422,2005-06-15 18:02:53,2005-06-19 15:54:53,4,0.99,4
mary,smith,mary.smith@sakilacustomer.org,sasebo,1476,2005-06-15 21:08:46,2005-06-25 02:26:46,5,9.99,10
mary,smith,mary.smith@sakilacustomer.org,sasebo,1725,2005-06-16 15:18:57,2005-06-17 21:05:57,6,4.99,1
mary,smith,mary.smith@sakilacustomer.org,sasebo,2308,2005-06-18 08:41:48,2005-06-22 03:36:48,7,4.99,4
mary,smith,mary.smith@sakilacustomer.org,sasebo,2363,2005-06-18 13:33:59,2005-06-19 17:40:59,8,0.99,1
mary,smith,mary.smith@sakilacustomer.org,sasebo,3284,2005-06-21 06:24:45,2005-06-28 03:28:45,9,3.99,7
mary,smith,mary.smith@sakilacustomer.org,sasebo,4526,2005-07-08 03:17:05,2005-07-14 01:19:05,10,5.99,6
mary,smith,mary.smith@sakilacustomer.org,sasebo,4611,2005-07-08 07:33:56,2005-07-12 13:25:56,11,5.99,4
mary,smith,mary.smith@sakilacustomer.org,sasebo,5244,2005-07-09 13:24:07,2005-07-14 14:01:07,12,4.99,5
mary,smith,mary.smith@sakilacustomer.org,sasebo,5326,2005-07-09 16:38:01,2005-07-13 18:02:01,13,4.99,4
mary,smith,mary.smith@sakilacustomer.org,sasebo,6163,2005-07-11 10:13:46,2005-07-19 13:15:46,14,7.99,8
mary,smith,mary.smith@sakilacustomer.org,sasebo,7273,2005-07-27 11:31:22,2005-07-31 06:50:22,15,2.99,4
mary,smith,mary.smith@sakilacustomer.org,sasebo,7841,2005-07-28 09:04:45,2005-07-30 12:37:45,16,4.99,2
mary,smith,mary.smith@sakilacustomer.org,sasebo,8033,2005-07-28 16:18:23,2005-07-30 17:56:23,17,4.99,2
mary,smith,mary.smith@sakilacustomer.org,sasebo,8074,2005-07-28 17:33:39,2005-07-29 20:17:39,18,0.99,1
mary,smith,mary.smith@sakilacustomer.org,sasebo,8116,2005-07-28 19:20:07,2005-07-29 22:54:07,19,0.99,1
mary,smith,mary.smith@sakilacustomer.org,sasebo,8326,2005-07-29 03:58:49,2005-08-01 05:16:49,20,2.99,3
mary,smith,mary.smith@sakilacustomer.org,sasebo,9571,2005-07-31 02:42:18,2005-08-02 23:26:18,21,2.99,2
mary,smith,mary.smith@sakilacustomer.org,sasebo,10437,2005-08-01 08:51:04,2005-08-10 12:12:04,22,4.99,9
mary,smith,mary.smith@sakilacustomer.org,sasebo,11299,2005-08-02 15:36:52,2005-08-10 16:40:52,23,3.99,8
mary,smith,mary.smith@sakilacustomer.org,sasebo,11367,2005-08-02 18:01:38,2005-08-04 13:19:38,24,0.99,2
mary,smith,mary.smith@sakilacustomer.org,sasebo,11824,2005-08-17 12:37:54,2005-08-19 10:11:54,25,4.99,2
mary,smith,mary.smith@sakilacustomer.org,sasebo,12250,2005-08-18 03:57:29,2005-08-22 23:05:29,26,0.99,4
mary,smith,mary.smith@sakilacustomer.org,sasebo,13068,2005-08-19 09:55:16,2005-08-20 14:44:16,27,0.99,1
mary,smith,mary.smith@sakilacustomer.org,sasebo,13176,2005-08-19 13:56:54,2005-08-23 08:50:54,28,2.99,4
mary,smith,mary.smith@sakilacustomer.org,sasebo,14762,2005-08-21 23:33:57,2005-08-23 01:30:57,29,0.99,2
mary,smith,mary.smith@sakilacustomer.org,sasebo,14825,2005-08-22 01:27:57,2005-08-27 07:01:57,30,1.99,5
mary,smith,mary.smith@sakilacustomer.org,sasebo,15298,2005-08-22 19:41:37,2005-08-28 22:49:37,31,2.99,6
mary,smith,mary.smith@sakilacustomer.org,sasebo,15315,2005-08-22 20:03:46,2005-08-30 01:51:46,32,5.99,8
patricia,johnson,patricia.johnson@sakilacustomer.org,san bernardino,320,2005-05-27 00:09:24,2005-05-28 04:30:24,33,4.99,1
patricia,johnson,patricia.johnson@sakilacustomer.org,san bernardino,2128,2005-06-17 20:54:58,2005-06-24 00:41:58,34,2.99,7
patricia,johnson,patricia.johnson@sakilacustomer.org,san bernardino,5636,2005-07-10 06:31:24,2005-07-13 02:36:24,35,2.99,3
patricia,johnson,patricia.johnson@sakilacustomer.org,san bernardino,5755,2005-07-10 12:38:56,2005-07-19 17:02:56,36,6.99,9
patricia,johnson,patricia.johnson@sakilacustomer.org,san bernardino,7346,2005-07-27 14:30:42,2005-08-02 16:48:42,37,4.99,6
